company_name,job_description,position_title,portal
Google,minimum qualifications bachelors degree equivalent practical experience years experience saas productivity tools businessexperience managing enterprise accounts sales cycles preferred qualifications years experience building strategic business partnerships enterprise customersability work reseller ecosystem scale businessability plan pitch execute territory business strategyability build relationships deliver results crossfunctionalmatrixed environmentability identify crosspromoting uppromoting opportunities existing account baseexcellent account management writtenverbal communication strategic analyticalthinking skills job member google cloud team inspire leading companies schools government agencies work smarter google tools google workspace search chrome advocate innovative power products make organizations productive collaborative mobile guiding light whats right customer meet customers exactly provide best solutions innovation using passion google products help spread magic google organizations world google workspace team helps customers transform evolve business use googles productivity collaboration content management suite applications part entrepreneurial team growing business help shape future businesses use technology connect customers employees partners google workspace sales specialist responsible maintenance expansion google workspace business growth region customers role youll create execute strategy provide unique insights applying google workspace solutions enterprisesyou build excellent pipeline work account teams build customer solution establish partnerships strategize partners increase account territory business growth work directly customers coordinate internal resources construct successful strategies account territory level google cloud accelerates organizations ability digitally transform business best infrastructure platform industry solutions expertise deliver enterprisegrade solutions leverage googles cuttingedge technology cleanest cloud industry customers countries territories turn google cloud trusted partner enable growth solve critical business problems,Sales Specialist,shine
Apple,description asc highly influential growing mind market share apple products building longterm relationships share passion customer experiences driven partner team growing ever changing challenging environment strive perfection maintaining visual merchandising helping grow develop partner team qualifications passion help people understand apple products enrich livesexcellent communication skills allowing comfortable front small group speaking individuals years preferred working dynamic sales andor results driven environment well proven success developing customer loyaltyability encourage partner team grow apple business,Apple Solutions Consultant,hirist
Netflix,amazing time joining netflix continue transform entertainment globally netflix worlds leading internet entertainment service million paid memberships countries enjoying tv series documentaries feature films wide variety genres languages members watch much want anytime anywhere internetconnected screen members play pause resume watching commercials commitments consumer products team aspires connect members content bringing favorite stories real life products campaigns entertain delight bring joy fans world due expansion licensees categories need additional support active prospective partnerships current upcoming titles looking licensing coordinator work entire slate netflix content bring content life compelling products support two managers oversee food beverage toys collectibles electronics sporting goods categories focusing canada regional opportunities individual would taskmaster extraordinaire assist day day deliverables working internal well external partners successful candidate dynamic professional understanding licensing workflow roll sleeves knock tasks orderly swift pace key responsibilities help drive business supporting licensing managers tasks related category management facilitating information external internal stakeholders maintaining communication product partner planscoordinate internal teams gather distribute brand marketing updates share licensing partnersmaintain update title strategies category licensing plans activitycollaborate licensing partners obtain placement updates distribute internal business partnersassist licensing managers compiling licensing recaps following product launches schedule meetings needed draft distribute meeting recaps respective business partnersprepare distribute track deal memos final agreements ensure deals processed efficiently stepswork licensing managers prepare onboarding new licenseesfacilitate receipt forecasts send royalty payment reminders neededpartner creative teams keep product development track attain commercial objectives need demonstrated years experience preferably licensing functionunderstanding category manufacturing sales cycle toys andor food beverage preferredexperience working reputable entertainment andor lifestyle brandsselfstarter motivated proactive flexibleability thrive pressure fastpaced dynamic environmentpossess attention details superb organizational skillsmultitasker extraordinaire ability prioritizeexcellent communicator alignment company culture values,Licensing Coordinator - Consumer Products,naukari
Robert Half,description web designers looking expand professional reach welcome robert half marketing creative start process robert half today searching highly skilled web designers experience working corporate brand standards guidelines ideal candidates would advanced skills creating wireframes designing mobile applications landing pages interactive sites qa testing experience working various interfaces familiarity uxui design principles candidates expected strong skills adobe photoshop illustrator indesign experience html css javascript major plus familiarity content management systems highly preferred nothing satisfying looking freelance fulltime creative opportunities working someone knows area expertise industry professionals robert half marketing creative team puts needs first effectively represents creative talent thats kind service youll receive team robert half marketing advertising creative backgrounds side right start could ask better support team requirements years experience web design role experience working clients brand standards guidelines advanced skill adobe creative cloud innovation starts people robert half worlds first largest specialized talent solutions firm connects highly qualified job seekers opportunities great companies offer contract temporary permanent placement solutions finance accounting technology marketing creative legal administrative customer support roles robert half puts best position succeed advocating behalf promoting employers provide access top jobs competitive compensation benefits free online training stay top opportunity even go questions call local office robert half consider qualified applicants criminal histories manner consistent requirements san francisco fair chance ordinance applicants applying job openings must legally authorized work united states benefits available temporary professionals visit robert half equal opportunity employer mfdisabilityveterans clicking apply youre agreeing,Web Designer,shine
TrackFive,trackfive weve got big goals mission revolutionize recruiting easytouse tools platforms envision future fill open job qualified candidate thats looking pioneerspeople blaze trails committed great work might small mightyweve got decade skin game yet weve managed maintain startup feel trackfive culture centered hard work believe strongly balance funin nutshell love coming work value different backgrounds perspectives believing together use creativity curiosity make amazing things happen youre ready part something exciting trackfive currently searching talented web developer position dependent location local office hybrid inoffice options available fully remote please note skills test may requirement potential candidates interview process youll web developer responsible delivering robust solutions clients work collaboratively support trackfives existing web application portfolio successful delivery new development initiatives life trackfive web contribute phases development lifecycle following internal procedures coding standards build layouts provided psd files build dynamic web apps using phpmysqlframeworks leverage rest services thirdparty apis rapidly solve problems bugs compatibility issues troubleshoot test maintain core product software databases ensure strong optimization functionality develop deploy new features facilitate related procedures tools necessary skills necessary years experience html csssass years experience programming php applications lamp stack development experience javascript jquery understanding relational databases security relating phpmysql expert knowledge content management systems either design mvc frameworks zend laravel etc ability build consume custom soap rest apis years experience writing unit testsdetailing procedures selfmotivated requiring minimal supervision exceptional organization communication skills want work trackfive free health insurance employees waiting period dental vision insurance trackfive splits cost birthday paid holiday companypaid short longterm disability insurance companypaid life insurance flex time paid parental leave companymatched retirement plan waiting vesting period opportunity workfromhome days week much swag cool inoffice perks free snacks massages yoga bringyourpettowork days name opportunity work great group people exciting things opportunity attend epic annual holiday party trackfive equal opportunity employer,Web Developer,shine
DesignUps,designups nashville based design interactive agency designups strong focus elevating brands expertise design customer experience frontend developer serious interest design ui could great fit job someone greater nashville area majority work done remotely require time east nashville office location hey bad walk five points pizza wildcow lunch contract position start competitive hourly rate would like find right person join team longterm role skills needed strong attention design details typography ui etc translating designs responsively multiple screen sizes familiarity bootstrap similar frameworks wordpress knowledge desire learn major bonus,Frontend Web Developer,shine
"Equisolve, Inc.",position web designer responsible providing designrelated support clientrelated internal projects additionally web designer responsible providing designrelated support projects currently development client review postlaunch assigned daytoday collaborate closely design managers websiterelated projects including finishing projects set art direction hand development team work crossfunctionally content development teams includes facilitating design discussions adjusting existing designswebsites based client feedback preparation launch sites partner development teams ensure implementation designs user experiences highest quality use evolve design systemlibrary craft sketches flows prototypes highfidelity visuals client websites product features work closely design leadership inform improve processes identifying opportunities elevating product user experience provide designrelated support postlaunch projects requirements ideal candidate detailoriented excellent eye detail enjoys delivering pixelperfect welldocumented designs knows design websites experience working understanding responsive design patterns systems prepared take baton run gladly takes projects set art direction finishes remaining design production work design system experience experience working scalable design systems inhouse design team team contributor willing work design managers develop strategy rationale features improvements internal processes speak understood strong verbal written communication skills must remote company adjust pivot navigate move forward quickly fastscaling company everevolving creator website tool hungry improve gladly welcome feedback performance design managers nondesigners intent professional growth company importantly joke sense humor must company company culture revolves things working hard laughing harder requirements years experience individual contributor web product design team desktop mobile excellent portfolio showcasing strong foundation typography interaction visual design ideation bonus props personal projects display design aesthetic passions solid understanding building usable accessible ada modular design systems scale bonus props certification related ada experience facilitating adoption visual design andor patterns design project excellent understanding figma design tools excellent written verbal communication skills ability clearly communicate design decisions strong organizational skills selfstarter benefits remote always generous pto allowance continuing education training shiny new gear choice apple products medical dental longterm short term disability insurance companysponsored life insurance dont meet qualifications thats okay apply anyway,Remote Website Designer,indeed
Zander Insurance Agency,,Web Designer,indeed
Tuff,tuff growth marketing team working clients drive growth creating managing measuring optimizing highperforming user acquisition campaigns fully remote small team endless opportunities autonomy ownership impact work clients nearly industry typical engagement tuff includes paid search social ads seo content strategy creative cro account dedicated growth marketing lead supported various channel experts position looking experienced web designer join cro team third web designer joining team cro team also includes conversion rate optimization specialist ux copywriter role work designs figma existing website optimizations landing page development different client accounts could include testing different ctas remediating homepage core pages adding new landing pages refining pricing pages updating user flows redesigning blogs requirements skilled web designer flexibility understanding work multiple established brands quick mockup design turnarounds strong understanding designs translated web build process years experience managing quickturnaround designdevelopment projects various cms platforms webflow wordpress shopify contentful etc landing page buildings unbounce leadpages startups scaleups strong project management skills setting adhering detailed production timelines following team members get need organizing creative assets developers clean aesthetic sharp eye color typography youre strategic thinker understand design digital website experiences compelling passion brand building help push user experience forward digital touchpoints youre curious solutionoriented enjoy finding new innovative design solutions work independently keen collaborate disciplines developers cro ux copy design fresh website experiences month youll shadow tuffs cro team lead three existing tuff clients learn individual brands ongoing cro web design needs adopt existing development design process working existing web designers lyn arturo learn guide website project priorities timelines scopes costs tuff process using teamwork slack design least one website optimization landing page different clients months youll work various website designs ongoing monthly improvements five tuff clients includes testing different ctas remediating homepage core pages adding new landing pages refining pricing pages updating user flows redesigning blogs work growth marketers cro team tuff well content creative implement website designs updates clients manage one three developer contractorsfreelancers responsible implementing designs clients sites fully guide website project priorities timelines scopes costs tuff process things change quickly tuff breakdown isnt prescriptive intended give better sense role benefits years experience web designer working sites companies various industries experience working creative production team familiarity creative production tools mainly figma adobe suite inclusive handson collaboration style proven experience clearly communicating timelines deliverables learning mindset committed getting better day bias action efficient adaptable driver focused making impact organization clients day demonstrated success testing uncovering useful insights sharing engaging form inspires people take action benefits passionate team thirty distributed youll work closely whole team particular elle creative strategist lyn web designer web designer kristin sr growth marketer coo get speed current clients iterate cro web design process tuff fully remote work anywhere want comprehensive health vision dental coverage k matching unlimited pto policy encourage take parental leave paid weeks home office coworking space stipend month internet reimbursement continuing training stipend annually wellness day quarter annual team retreats starting salary range role use compensation formula adjusts experience applicants must based,Web Designer,indeed
General Dynamics Information Technology,type requisition regular clearance level must able obtain none job family web design gdit years experience supporting technology science mission environmental protection agency gdit technologists scientists innovators experts moving applications cloud modeling massive data sets highperformance computing environments supporting innovative bleeding edge technologies scientific initiatives defending cyber landscape driving automation highlevel skills htmlcssjavascript drupal section compliance expertise pertaining pdfs adobe acrobat pro videos interactive trainings websites web applications jaws dragon zoomtext articulate graphics design adobe photoshop illustrator effects lightroom specific tasks designs builds complex graphics page layouts animation suit web pages enhance layout create visual appeal creates advanced detailed draft website outlining various web pages according client specifications needs provides testing ensure website userfriendly interactive provides thorough review final webpage design next level production collaborates web professionals provide guidance implementation website stays current latest design software improve knowledge skills able create better design quality provides guidance leadership lessexperienced web designer personnel desired qualifications babs equivalent experience years experience additional job description covid vaccination gdit vaccination mandate applicable employees protect health safety employees comply customer requirements however gdit may require employees certain positions fully vaccinated covid vaccination requirements depend status federal contractor mandate customer site requirements gdit people supporting complex government defense intelligence projects country deliver bringing expertise needed understand advance critical missions transform shifting ways clients invest integrate innovate technology solutions ensure today safe tomorrow smarter ground clients lab everywhere offering technology transformations strategy mission services needed get job done gdit equal opportunityaffirmative action employer qualified applicants receive consideration employment regard race color religion sex sexual orientation gender identity national origin disability veteran status protected class covid vaccination gdit vaccination mandate applicable employees protect health safety employees comply customer requirements however gdit may require employees certain positions fully vaccinated covid vaccination requirements depend status federal contractor mandate customer site requirements gdit people supporting complex government defense intelligence projects country deliver bringing expertise needed understand advance critical missions transform shifting ways clients invest integrate innovate technology solutions ensure today safe tomorrow smarter ground clients lab everywhere offering technology transformations strategy mission services needed get job done gdit equal opportunityaffirmative action employer qualified applicants receive consideration employment regard race color religion sex sexual orientation gender identity national origin disability veteran status protected class,SR. Web Designer,glass door
